,,,S3: Which of the following industries do you work in?,,,,,,,Q2: What are the top strategic business priorities for your organization over the next two years?,,,,,,,,,,Q3: Which of the following external trends will have the biggest impact on your business in the next two years?,,,,,,,,,,,,,Q4: Which of these are problems you’re seeing within your organization?,,,,,,,,,,,,,,,,,"Q10: When selecting a consulting firm as part of your organizational and talent strategy, who is involved in the decision-making group?",,,,,,,,,,,,,,,,,,
I agree,"More than 10,000 employees",United States,Consumer markets,,Chief Information Officer,Senior Leadership (cross function),I am the primary decision maker,"No, I'm not on a Board",,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,Moving technology at the pace the business wants.  Also significant reduction in force has caused us to do more with less.,Establish stronger leaders that are able to get more productivity out of the existing team.,Myself and our HR leadership.,0,"Generally 8-10 people from the department, procurement and legal.",0,I am part of a decision making team,1,0,0,0,1,1,0,0,0,,Staffing and compensation analysis,Too costly or not clear plan with milestones.,They would be long term partners that understood our business and could jump in to solve short and long term problems.,Internal evaluation by our own team.,"Gartner, industry magazines, and other third party sources.",Unknown.,Gartner white papers or analyst calls.,Watch or listen.,Gartner and CIO magazine.
I agree,"More than 10,000 employees",United States,Financial Services,,VP,Senior Leadership (cross function),I am part of a decision-making team,"Yes, I'm on the board of another company","Seeing the details , differences in approach and agreements",0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,Culture changes and adoption of technologies,"Upskilling, reskilling, effective management , drive change and innovation","Different teams , depending on the areas we are focusing on and want to improve.",0,Depends but usually a handful of people,0,I am aware of the decision-making process or consulted on it but I am not directly involved in it,1,1,0,0,0,0,0,0,0,,Adoption of new technologies best practices but also understanding the risks,"Cost, competing priorities","Be more hands on, trying to unterstand our culture better.",Testimonial from other peers.,"Strategic partners , technology partners, LInkedIN","No specific ones , follow markets, Bloomber news.","Different news articles focus on technology, regulation etc.","Watch and listen , reading only if it summarizes in a few bullet points",Spotify
I agree,"More than 10,000 employees",United States,Industrial Manufacturing,,Head,Senior Leadership (cross function),I am the primary decision maker,"No, I'm not on a Board",,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,"I would say that this is trying to thread the needle between a desire for large impact and speed, with massive resource limitation.  While we try to  do more with the same  which is possible with AI, we are asked to do more with less and that is just impossible sometimes",Lots of our data is in different places with different platforms and this is a huge hindrance to using new tools.,"I give it to a director and task them with delivering it.  It is their choice, but it is internal.",0,at least 5 senior leaders,0,I am part of a decision making team,0,1,1,1,1,0,0,0,0,,The easiest path forward for integrating various data pools and platforms,"Costs, lack of practicality, non-alignment with our culture",They woudl show up and explain to everyone in the project how to use them.  Too often consultants assume that companies know how to use consultants and very freequently they do not.,"Peers with experience, thought leadership other 3rd party evaluations","McKinsey and similar thought leadership, HBR, industry newsletters, peer groups","There are a lot, I named a few in the past line.  It depends on what we are talking about as there are so many.","We share industry related content, relevant HBR, McKinsey and similar consultant thought leadership and then occassional stuff from sources like WSJ, NYT, The Economist, Fortune and a few other prominent publications",Read.  Althought I do listen to podcasts when exercising or driving,"WSJ, HBR, The Economist, Bloomberg, various podcasts, streaming media like Netflix and Hulu and a few others"
I agree,"More than 10,000 employees",United States,Technology,,Chief Technology Officer,Senior Leadership (cross function),I am the primary decision maker,"Yes, I'm on the board of my company","As a Board member, my biggest challenges include balancing short term goals with long term strategies, ensuring alignment across deserve teams and addressing regulatory and technological changes while maintaining organizational growth",1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,"I feel pressure to deliver results quickly, especially innovation but struggle with resource constraints",We are working to close gaps in digital transformation and leadership,The research is typically conducted by the talent management or HR team.,0,The decision making group typically consists of 3 - 5 senior leaders from relevant departments.,0,I am the primary decision maker,0,0,1,1,1,1,0,0,0,,A consulting partner could help streamline our digital transformation strategy,We may not move forward if the solution lacks clear implementation support or alignment with long term goals,Tailored solutions long term support industry expertise and flexibility,"I trust case studies, referrals from peers and industry reviews.","We primarily rely on industry reports, linkedin and specialized podcasts for insights.",Our executive team follows publications like harvard business review and analysts from McKinsey & Co,"Our teams frequently read internal reports, industry updates and project performance summaries",We prefer reading report and articles but occasionally watch relevant webinars,We subscribe to harvard business review and industry specific newsletters
I agree,"More than 10,000 employees",United States,Consumer markets,,VP,Senior Leadership (cross function),I am part of a decision-making team,"No, I'm not on a Board",,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"The team is tired and afraid of changes, while the AI tech is far from ready to truly deliver the productivity",The process is over complicated to drive change. Push backs are from multiple teams.,Consulting firm doesn't have local knowledge of our org. Our team has to spend a lot of time collecting info to feed them.,0,Function leadership team.,0,I am part of a decision making team,1,0,0,0,1,0,1,0,0,,Process excellence,Implementation feasibility is more complicated than the firm design.,"A squad team being immersed in daily business for a certain time, plus leadership interviews.","Proven track record, similar cases handled.",Podcasts and forums,We don't have a unified source.,Functional leads casually share what he/she reads.,Reading might be better as it's easier to share via emails.,Industry podcasts
I agree,"More than 10,000 employees",United States,Life sciences,,VP,Senior Leadership (cross function),I am the primary decision maker,"No, I'm not on a Board",,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,"Leveraging technology, AI, etc as well as cost control","Ability to adapt to AI, and truly adopt it","Budget owners, with procurement/ finance",0,2-5,0,I am part of a decision making team,1,1,1,0,0,0,0,0,0,,Org design to correct years of neglect especially as the business shifted under our feet,"Cost, organization resistance to change","Jack of all trades, big thinker, not over focused on selling and as non- political as possible","References, peers etc","All of the above, yes","Some analysts, but mostly just market sentiment","Various industry newswires, Gartner, etc.",All of the above. Listen is my personal favorite so that I can multitask,Bloomberg
I agree,"More than 10,000 employees",United States,Technology,,VP,Senior Leadership (cross function),I am part of a decision-making team,"No, I'm not on a Board",,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,Navigating thought leadership to implement and operate,Core tech thinking expertise to solve business problems. Implementation and operations are easy.,Internal,0,5 people across enterprise relationships,0,I am part of a decision making team,0,0,1,0,1,1,0,0,0,,Finding a minimalistic tech strategst,Relevance to enterprise problems and use cases.,Whiteboarding the problem and giving curated solution,Creating solutions relevant to pain points and showing how it can be measured for remediation.,Multiple industry reports,"Yes IDC, Forrester, WAvestone etc.","Some of the industry publications, peer company reports as well as internal reserach from our growht office.",Read,Podcasts
I agree,"More than 10,000 employees",United States,Technology,,Senior VP,Sales,I am part of a decision-making team,"No, I'm not on a Board",,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,AI transformation and pace of change,Upskilling and seller productivity,Multiple,0,10+,0,I am part of a decision making team,0,0,1,0,1,1,0,0,0,,Ai integration,Collaboration,"Seamless extension of my team, deep knowledge of the organization, industry and competition; actionable solutions vs standard framework",References,McKinsey. WSJ. Gartner.,Covered,Linkedin,"WSJ, economist, HBR",HBR
I agree,"More than 10,000 employees",United States,Technology,,VP,Senior Leadership (cross function),I am part of a decision-making team,"No, I'm not on a Board",,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Growth and expansion.  Feel stuck given a soft market.,Culture and connection,,1,,1,I am part of a decision making team,0,0,0,0,0,0,0,0,1,,Unable to answer,Innovation,Unable to discuss,"Cost, innovative and people culture",Culture,Insights,Insights and culture,Watch,A variety
I agree,"More than 10,000 employees",United States,Financial Services,,VP,Senior Leadership (cross function),I am part of a decision-making team,"Yes, I'm on the board of another company","Huge expectations, arranging the right resources and talent, keep up eith trends and technology",0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,Competing eith competitors using legacy data and technology we have.   Styck within the existing company culture,"AI, automation, Cyber security","IT teams, HR",0,50,0,I am part of a decision making team,1,0,1,0,0,1,0,0,0,,Inflation and employee demands,Cost effectiveness,Be professional and organized   They should show up as tech and innovation leaders  By keeping up with current trends and technology,Word of mouth from fellow leaders  Online research  Vendor reputation,Online resources forums  Conferences,"Gartner, technology shows, fortune 100 companies","Forbes, Gartner, internal resources",All,"Social, online"
I agree,"More than 10,000 employees",United States,Healthcare,,VP,Sales,I am part of a decision-making team,"No, I'm not on a Board",,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,The most pressure is on profitability and capital orders while matrix selling models and lack of leadership consistency present strategy concerns,Leadership mostly invests in leadership level capability upskilling activities,It is usually done through the leadership team including the chief of staff and communications personnel taking the lead,0,Selection may be 5-6 key individuals   svp of the region  CFO of the region   Global business leader (President)  Marketing vp  Global marketing   HR   Chief of staff,0,I am aware of the decision-making process or consulted on it but I am not directly involved in it,0,1,1,0,1,1,1,0,0,,Prioritization of business initiatives,Financial constraints and leadership changes one the project gets underway,They would project manage the tactical execution of changes and have the support of the leader about of the business line for a set amount of time to execute changes,Past experience with that firm within the organization or from a colleagues reference from another org,"Case studies, publications, financial reports and anecdotal info from industry leaders",Advisory board,Communications from senior leadership and references they make,Read,"Backers, linked in"
I agree,"More than 10,000 employees",United States,Technology,,Chief Marketing Officer,Sales,I am part of a decision-making team,"No, I'm not on a Board",,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,Increased revenue targets and employee burnout.,AI,HR,0,8,0,I am part of a decision making team,1,1,1,1,0,1,1,0,0,,Internal org redundancies,No expertise in my industry,Relevance in my industry.,"Analyst reports, peer recommendations, brand, innovation","Industry reports, peer recommendations",Forrester  McKenzie  E&Y/Parthanon  Gartner  IDC  Everest Group,"Analyst reports, industry-specific newsletters, webinars, primary research",Read,"Analyst reports, business/industry pubs, business streaming broadcasts"
I agree,"More than 10,000 employees",United States,Public Sector,,Head,Senior Leadership (cross function),I am the primary decision maker,"No, I'm not on a Board",,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,Back to office,Motivation,Internql,0,,1,I am part of a decision making team,0,0,1,1,1,1,0,0,0,,Motivation back to work,Cost,Part of the team,Goodwill and reputation,Industrial events,Yes,Internal white papers,Podcast,Na
I agree,"More than 10,000 employees",United States,Technology,,Senior VP,Senior Leadership (cross function),I am the primary decision maker,"No, I'm not on a Board",,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,"The political environment and accompanying (unnecessary) economic uncertainty are making employee engagement incredibly difficult to manage. Inclusion has become a dangerous word, and we cannot even offer cost of living adjustments at this time.","Comfort with and understanding of AI and how to work with it is very inconsistent. To be fair, though, a lot of the fears are grounded in reality.",Member of our strategy and operations teams.,0,Ideally a collection of about 5-7 individuals.,0,I am the primary decision maker,0,0,1,0,1,0,0,0,0,,Technological transformation.,The fact that our organization is so particular in how things are done and so often if feels easier to just manage things in house,They would make very clear what they have to offer that we don’t have while also showing how they can work in our style.,Colleagues (current and former) who have been former or current clients; trusted publication sources such as Gardner,Primarily industry reports,We try to stay away from influencers. Publications are what we primarily rely on.,Publications. Occasionally email newsletters.,Read,"Music, The Economist, The New Yorker, The New York Times, Washington Post"
I agree,"More than 10,000 employees",United States,Healthcare,,VP,Senior Leadership (cross function),I am part of a decision-making team,"Yes, I'm on the board of another company",Gathering timely and accurate information on industry trends and potential viable opportunities.,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,On affordability. The need to reduce costs negatively impacts innovation and growth. The lack of investment creates a stagnant environment.,No,Vendor management division does the work.,0,3-4,0,I am part of a decision making team,1,1,1,0,0,0,0,0,0,,"Short and long term strategic plan.  Having gone through yet another merger and consolidation, it is a challenge to meet long term goals. Direction on staying the course for a minimum of 18 months would be ideal, with a solid plan and agreement in place.","Resources -- often by the time the solution is presented, my company is going in a new direction.","It isn't the consulting company, it is often the scope of the project I would change. Ideally, a consulting firm would be engaged long term, knowing the culture of the organization and its key players. In a large organization with frequent turnover at the C-suite and front line levels, long term direction is a challenge. Direction to the parent company about the frequent scope changes in the subsidiary may help to balance out work and allow for achievement and growth.  It would be nice for a consult to be confident enough to disagree with the CEO and point out challenges/errors, etc. and develop a viable solution.","word of mouth, personal research.","Industry reports, associations, and leadership.",No,"Industry information regarding health care technology, trends, innovations and contracts.",read,"Wall Street Journal, Harvard Business Review, key newspapers, APA."
I agree,"More than 10,000 employees",United States,Financial Services,,Senior VP,Operations,I am the primary decision maker,"No, I'm not on a Board",,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,Growth,Flexibility and agility,Revenue lines and HR,0,5,0,I am aware of the decision-making process or consulted on it but I am not directly involved in it,1,1,0,1,1,0,0,0,0,,AI strategy,Cost,"Highly professional, full alignment in incentives","References, past experience","HBR, News, Consulting websites",HBR,Not sure I understand,Read,"Economist, HBR, NY times, WSJ"
I agree,"More than 10,000 employees",UK,Financial Services,,VP,Sales,I am the primary decision maker,"No, I'm not on a Board",,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,Delivering business results will always be the most pressured area of my role. Working within a heavily regulated industry means deployment of ai is slower and that can be an unlock for us if we were able to use the tools available.,"Yes, within the company wide business development function there are gaps",Our strategy team would do this alongside the business leader for that areas involvement.,0,"Depending on if it is for the Emea region or globally, the number will differ. But as a ballpark there would be 10 -20 people involved in the process from origination to selection.",0,I am part of a decision making team,1,1,1,1,1,1,0,0,0,,Mapping how ai and gen ai tools could be deployed for use internally with our own data and externally for clients.,"Usually this is down to timing, pricing or other more pressing priorities",They would be industry experts with consultants that have worked for 5-10 years within the industry.     They would pitch good ideas based on what they are seeing others doing.     They would help implement and execute.,Previous experience working with them or being aware of their work.,Industry reports (normally McKinsey)  Podcast and news.,N/a,Generally news and content about our company and close competitors,Listen and read.,Ft  Insurance post
I agree,"More than 10,000 employees",UK,Technology,,Senior VP,Human Resources,I am the primary decision maker,"No, I'm not on a Board",,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,"The most pressure is in the US market as it is extremely competitive, but also in general in mature markets. True innovation is where we feel stuck at times.","Yes, global leadership (leaders able to effectively manage global teams) and inspirational leadership (leaders with developed EQ who are able to genuinely motivate teams)","There is not a dedicated resource for this, it is all of us including myself recommending firms we know or have worked with",0,Typically 6/7 people part of the people leadership team,0,I am part of a decision making team,1,1,0,0,1,0,0,0,0,,How to build last global leadership capabilities,"It can be a range of things including cost, but more likely lack of confidence the solution suggested is not effective",They would invest a lot of time trying to genuinely understand the uniqueness of our business. Very often they slightly tweak existing solutions (not off the shelf but not far off). No firm makes the necessary effort to truly tailor a solution to your business,Trusted people in my network who have already worked with that firm,"A range including McKinsey, Deloitte, Josh Bershin, Harvard Business Review, LBS articles etc.",McKinsey,A vast range but the main focus at the moment is effective leadership,watch,HBR
