Question,Response,Overall,job_level_CEO
"Q4 - Please confirm the location of your current place of work, and also where this would ideally be for you?",Current place of work - Full-time in office,59%,45%
"Q4 - Please confirm the location of your current place of work, and also where this would ideally be for you?",Current place of work - Full-time remote,10%,9%
"Q4 - Please confirm the location of your current place of work, and also where this would ideally be for you?",Current place of work - Hybrid work (blend of working from home and office),27%,45%
"Q4 - Please confirm the location of your current place of work, and also where this would ideally be for you?",Current place of work - Unsure,4%,1%
"Q4 - Please confirm the location of your current place of work, and also where this would ideally be for you?",Ideal place of work - Full-time in office,19%,12%
"Q4 - Please confirm the location of your current place of work, and also where this would ideally be for you?",Ideal place of work - Full-time remote,24%,21%
"Q4 - Please confirm the location of your current place of work, and also where this would ideally be for you?",Ideal place of work - Hybrid work (blend of working from home and office),48%,58%
"Q4 - Please confirm the location of your current place of work, and also where this would ideally be for you?",Ideal place of work - Unsure,9%,9%
"Q5 - To what extent do you agree with the following statements about AI in the workplace and skills.",I feel my current skills will remain relevant in the next three years,74%,73%
"Q5 - To what extent do you agree with the following statements about AI in the workplace and skills.",My organization encourages and reinforces learning and development,67%,59%
"Q5 - To what extent do you agree with the following statements about AI in the workplace and skills.",I feel my company is focusing my development on the long-term goals of the company,63%,61%
"Q5 - To what extent do you agree with the following statements about AI in the workplace and skills.","I would stay at a job if it granted me opportunities to progress and upskill quickly, even if I hated the current role",63%,54%
"Q5 - To what extent do you agree with the following statements about AI in the workplace and skills.",My organization offers a broad enough range of learning approaches [e.g. self-directed video/e-learning/podcasts/short modules/practical workshops] to suit my needs,63%,59%
"Q5 - To what extent do you agree with the following statements about AI in the workplace and skills.",My organization encourages experimentation with new technologies,62%,66%
"Q5 - To what extent do you agree with the following statements about AI in the workplace and skills.",I feel excited and positive about how emerging technologies like AI will change the way I work,61%,64%
"Q5 - To what extent do you agree with the following statements about AI in the workplace and skills.",I think using AI in my role will bolster my value in the next three years,58%,64%
"Q5 - To what extent do you agree with the following statements about AI in the workplace and skills.","When I've been asked to use AI to help with my job, I found it produced better results and/or improved efficiency.",57%,57%
"Q5 - To what extent do you agree with the following statements about AI in the workplace and skills.",I feel leaders in my organization understand AI,56%,54%
"Q5 - To what extent do you agree with the following statements about AI in the workplace and skills.",I feel adequately trained to use AI tools,55%,55%
"Q5 - To what extent do you agree with the following statements about AI in the workplace and skills.",I feel certain that my role will be replaced by AI/tech in the next three years,44%,41%
"Q6 - To what extent do you agree with the following statements with regards to your workplace.",I would be motivated to work harder if I only worked a 4-day week on the same salary,74%,68%
"Q6 - To what extent do you agree with the following statements with regards to your workplace.",I feel that the job I do reflects my values,71%,74%
"Q6 - To what extent do you agree with the following statements with regards to your workplace.",Connection with my colleagues is one of the most important things about my job,71%,51%
"Q6 - To what extent do you agree with the following statements with regards to your workplace.",My company understands the importance of the benefits that come alongside a salary,68%,72%
"Q6 - To what extent do you agree with the following statements with regards to your workplace.",I feel my company provides a variety of ways to communicate and connect with colleagues,68%,70%
"Q6 - To what extent do you agree with the following statements with regards to your workplace.",I feel leaders in my company respect the needs of employees across generations,66%,61%
"Q6 - To what extent do you agree with the following statements with regards to your workplace.",I feel my company provides adequate support for employee mental well-being,63%,54%
"Q6 - To what extent do you agree with the following statements with regards to your workplace.",I have strong connections with my remote colleagues,59%,53%
"Q6 - To what extent do you agree with the following statements with regards to your workplace.","I would stay at a job if it paid me the salary I want, even if I hated the role",59%,46%
"Q6 - To what extent do you agree with the following statements with regards to your workplace.","I would stay at a job if it allowed me flexibility, even if I hated the role.",58%,45%
"Q6 - To what extent do you agree with the following statements with regards to your workplace.",My organization has taken steps to reduce cultural gaps between different generations of workers,58%,51%
"Q6 - To what extent do you agree with the following statements with regards to your workplace.",I feel I work better with people my own age,54%,29%
"Q7 - To what extent do you agree with the following statements.",I am concerned about the cost of living outpacing my current salary,70%,58%
"Q7 - To what extent do you agree with the following statements.",My current role leaves me feeling fulfilled,66%,67%
"Q7 - To what extent do you agree with the following statements.",I am open to changing industries to have better job security,63%,49%
"Q7 - To what extent do you agree with the following statements.",I feel confident I could easily find a new role if I left my current company in the next few months,62%,65%
"Q7 - To what extent do you agree with the following statements.",The organization handles decisions about people with sensitivity and care,59%,58%
"Q7 - To what extent do you agree with the following statements.",I am worried about how to make my resume/ CV stand out in the competitive job market,53%,29%
"Q7 - To what extent do you agree with the following statements.",My organization's leaders value people over profits,52%,32%
"Q7 - To what extent do you agree with the following statements.",I am concerned about a lack of jobs for my skillset,47%,38%
"Q7 - To what extent do you agree with the following statements.",I am open to relocating to another country to secure a job,47%,30%
"Q7 - To what extent do you agree with the following statements.",I am concerned that protectionism policies around immigration are affecting my ability to find work,41%,21%
"Q7 - To what extent do you agree with the following statements.",I expect a significant reduction in DEI initiatives at my company since new governments were elected,41%,17%
"Q7 - To what extent do you agree with the following statements.",I feel my company is using Return to Office policies and other rules to push me out,38%,27%
"Q8 - To what extent do you agree with the following statements.",The values a company promotes are extremely important to me,66%,74%
"Q8 - To what extent do you agree with the following statements.",The ability to work flexibly and from wherever I want is critical to my work-life balance,63%,72%
"Q8 - To what extent do you agree with the following statements.",The ability to work flexibly and from wherever I want is critical to my mental health,61%,68%
"Q8 - To what extent do you agree with the following statements.","In the last 12 months, I have joined with colleagues to influence workplace decisions",51%,42%
"Q8 - To what extent do you agree with the following statements.",Leaders at my organization are often not aligned,43%,37%
"Q8 - To what extent do you agree with the following statements.",I feel recent changes in senior leadership has negatively impacted the operations at our firm,41%,31%
"Q8 - To what extent do you agree with the following statements.",I am stretched too far beyond my capabilities at work,40%,33%
"Q8 - To what extent do you agree with the following statements.",I feel that I am overlooked for leadership roles because of my age.,38%,30%
"Q8 - To what extent do you agree with the following statements.",I frequently doubt my ability to fulfill my work responsibilities.,36%,31%
"Q8 - To what extent do you agree with the following statements.",I feel that I am overlooked for training because of my age,36%,27%
"Q8 - To what extent do you agree with the following statements.","I feel that I am overlooked for promotions, pay rises, or leadership training because of my class.",36%,24%
"Q8 - To what extent do you agree with the following statements.","I feel that I am overlooked for promotions, pay rises, or leadership training because of my sex.",35%,21%
"Q8 - To what extent do you agree with the following statements.","I feel that I am overlooked for promotions, pay rises, or leadership training because of my race.",33%,17%
"Q8 - To what extent do you agree with the following statements.",I struggle with imposter syndrome,32%,31%
"Q8 - To what extent do you agree with the following statements.",I share negative reviews about my employer on social media or review sites (such as Glassdoor),28%,15%
"Q9 - To what extent do you agree with the following statements.",I have the resources I need to deliver what is expected of me.,70%,74%
"Q9 - To what extent do you agree with the following statements.",My manager is supportive and helpful,68%,67%
"Q9 - To what extent do you agree with the following statements.",I feel that I can be my full self around my co-workers.,67%,49%
"Q9 - To what extent do you agree with the following statements.",I am comfortable talking to my manager about needs related to my health and wellbeing,64%,62%
"Q9 - To what extent do you agree with the following statements.",My manager empowers me,62%,52%
"Q9 - To what extent do you agree with the following statements.",I feel that my ideas and opinions will be welcomed by company leaders,61%,55%
"Q9 - To what extent do you agree with the following statements.","If a problem in my personal life is affecting my work/performance, I feel comfortable telling my manager about it",60%,48%
"Q9 - To what extent do you agree with the following statements.",Our external reputation matches our internal culture.,59%,55%
"Q9 - To what extent do you agree with the following statements.",I'm comfortable discussing my personal life with my colleagues,58%,61%
"Q9 - To what extent do you agree with the following statements.",My manager appears overwhelmed at work,46%,42%
"Q9 - To what extent do you agree with the following statements.",My organization has cut back on the number of managers,41%,29%
"Q9 - To what extent do you agree with the following statements.",The lack of managers at my organization leaves me feeling directionless,37%,30%
"Q10 - To what extent do you think your company is committed to greater inclusion and social responsibility?",Is your company committed to corporate social responsibility and sustainability goals? - (5) Far too committed,12%,5%
"Q10 - To what extent do you think your company is committed to greater inclusion and social responsibility?",Is your company committed to corporate social responsibility and sustainability goals? - (4) Slightly too committed,14%,4%
"Q10 - To what extent do you think your company is committed to greater inclusion and social responsibility?",Is your company committed to corporate social responsibility and sustainability goals? - (3) Just the right commitment,47%,58%
"Q10 - To what extent do you think your company is committed to greater inclusion and social responsibility?",Is your company committed to corporate social responsibility and sustainability goals? - (2) Not committed nearly enough,13%,17%
"Q10 - To what extent do you think your company is committed to greater inclusion and social responsibility?",Is your company committed to corporate social responsibility and sustainability goals? - (1) Not committed at all,5%,11%
"Q10 - To what extent do you think your company is committed to greater inclusion and social responsibility?",Is your company committed to corporate social responsibility and sustainability goals? - Don't know / no opinion,8%,3%
"Q10 - To what extent do you think your company is committed to greater inclusion and social responsibility?","Is your company committed to Diversity, Equity & Inclusion (DE&I) in the workplace? - (5) Far too committed",12%,4%
"Q10 - To what extent do you think your company is committed to greater inclusion and social responsibility?","Is your company committed to Diversity, Equity & Inclusion (DE&I) in the workplace? - (4) Slightly too committed",15%,5%
"Q10 - To what extent do you think your company is committed to greater inclusion and social responsibility?","Is your company committed to Diversity, Equity & Inclusion (DE&I) in the workplace? - (3) Just the right commitment",48%,60%
"Q10 - To what extent do you think your company is committed to greater inclusion and social responsibility?","Is your company committed to Diversity, Equity & Inclusion (DE&I) in the workplace? - (2) Not committed nearly enough",12%,16%
"Q10 - To what extent do you think your company is committed to greater inclusion and social responsibility?","Is your company committed to Diversity, Equity & Inclusion (DE&I) in the workplace? - (1) Not committed at all",5%,11%
"Q10 - To what extent do you think your company is committed to greater inclusion and social responsibility?","Is your company committed to Diversity, Equity & Inclusion (DE&I) in the workplace? - Don't know / no opinion",7%,4%
"Q11 - How well do you think you are compensated for your skillset?",My company gives me a salary and benefits that exceed the value of my skills,6%,5%
"Q11 - How well do you think you are compensated for your skillset?",My company gives me a salary and benefits that match the value of my skills,58%,74%
"Q12 - Are you planning on leaving your current role in the next three months?","No, not interested in moving",47%,41%
"Q12 - Are you planning on leaving your current role in the next three months?",I'm considering it and looking at options,40%,47%
"Q12 - Are you planning on leaving your current role in the next three months?",I'm currently applying and/or interviewing,10%,12%
"Q12 - Are you planning on leaving your current role in the next three months?",I'm preparing to retire,3%,2%
"Q13 - What would your ideal role be?",Permanent Full Time,74%,74%
"Q13 - What would your ideal role be?",Part time,15%,18%
"Q13 - What would your ideal role be?",Contract / Interim Part Time,2%,1%
"Q13 - What would your ideal role be?",Contract / Interim Full Time,2%,4%
"Q13 - What would your ideal role be?",Freelance Part Time,2%,1%
"Q13 - What would your ideal role be?",Freelance Full Time,4%,3%
"Q14 - What are the biggest challenges you face when working with colleagues from different generations?",Different communication styles,40%,31%
"Q14 - What are the biggest challenges you face when working with colleagues from different generations?",Gaps in technology skills,35%,35%
"Q14 - What are the biggest challenges you face when working with colleagues from different generations?",Conflicting values or priorities,35%,34%
"Q14 - What are the biggest challenges you face when working with colleagues from different generations?",Leadership bias towards specific age groups,23%,16%
"Q14 - What are the biggest challenges you face when working with colleagues from different generations?",I don't experience any challenges,28%,33%
"Q15 - Which of the following would help you collaborate better with colleagues from different generations?",Training on communication and teamwork,46%,36%
"Q15 - Which of the following would help you collaborate better with colleagues from different generations?",A stronger focus on shared values and goals,45%,36%
"Q15 - Which of the following would help you collaborate better with colleagues from different generations?",Technology training for bridging skill gaps,41%,35%
"Q15 - Which of the following would help you collaborate better with colleagues from different generations?",Reverse mentorship programmes,23%,14%
"Q15 - Which of the following would help you collaborate better with colleagues from different generations?",Training on how to work remotely with colleagues,22%,19%
"Q15 - Which of the following would help you collaborate better with colleagues from different generations?",None of these,17%,25%
"Q16 - Do you feel your company allows you to switch off at the end of the day without an expectation to answer emails or calls?","Yes, there is no expectation to answer emails or calls after I log off",48%,37%
"Q16 - Do you feel your company allows you to switch off at the end of the day without an expectation to answer emails or calls?","Somewhat, I still have to answer urgent emails or calls on a case-by-case basis",39%,45%
"Q16 - Do you feel your company allows you to switch off at the end of the day without an expectation to answer emails or calls?","Not at all, my company expects me to always be available and responsive",13%,18%
"Q17 - To what extent do you agree with the following statements.",My job makes good use of my skills and abilities.,76%,76%
"Q17 - To what extent do you agree with the following statements.",My job provides opportunities to do challenging and interesting work.,73%,73%
"Q17 - To what extent do you agree with the following statements.",I have good opportunities for learning and development at the company.,70%,64%
"Q17 - To what extent do you agree with the following statements.",The organization motivates me to do my best work.,69%,71%
"Q17 - To what extent do you agree with the following statements.",The organization is strategically adapting to changes in the business environment.,68%,59%
"Q17 - To what extent do you agree with the following statements.",I feel motivated to do more than is required of me.,68%,61%
"Q17 - To what extent do you agree with the following statements.",I have trust and confidence in the company's senior leadership team.,67%,62%
"Q17 - To what extent do you agree with the following statements.",The organization shows care and concern for its employees.,67%,62% 
